Date,Borough,Check Row,Open Backlog EOP,Open Backlog EOP (Fast),EOP PHONE,EOP (Fast) PHONE
2025-12-31,BROOKLYN,1,40115,40115,12702,12702
2025-12-31,MANHATTAN,1,34937,34937,8361,8361
2025-12-31,QUEENS,1,44972,44972,12437,12437
2025-12-31,STATEN ISLAND,1,6439,6439,2193,2193
2025-12-31,UNKNOWN,1,501,501,127,127
2026-01-31,BRONX,1,30788,30788,13038,13038
2026-01-31,BROOKLYN,1,54289,54289,16527,16527
2026-01-31,MANHATTAN,1,44609,44609,11260,11260
2026-01-31,QUEENS,1,53204,53204,14869,14869
2026-01-31,STATEN ISLAND,1,9056,9056,2843,2843
2026-01-31,UNKNOWN,1,548,548,143,143
2026-02-28,BRONX,1,30949,30949,13636,13636
2026-02-28,BROOKLYN,1,50347,50347,17038,17038
2026-02-28,MANHATTAN,1,44280,44280,11982,11982
2026-02-28,QUEENS,1,48659,48659,14647,14647
2026-02-28,STATEN ISLAND,1,7075,7075,2321,2321
2026-02-28,UNKNOWN,1,569,569,147,147
2026-03-31,BRONX,1,32754,32754,14043,14043
2026-03-31,BROOKLYN,1,50582,50582,17409,17409
2026-03-31,MANHATTAN,1,45903,45903,11662,11662
2026-03-31,QUEENS,1,47228,47228,13677,13677
2026-03-31,STATEN ISLAND,1,6779,6779,2271,2271
2026-03-31,UNKNOWN,1,553,553,136,136
2026-04-30,BRONX,1,30596,30596,12988,12988
2026-04-30,BROOKLYN,1,45996,45996,15575,15575
2026-04-30,MANHATTAN,1,43406,43406,9736,9736
2026-04-30,QUEENS,1,44754,44754,13120,13120
2026-04-30,STATEN ISLAND,1,6183,6183,2091,2091
2026-04-30,UNKNOWN,1,622,622,141,141
2026-05-31,BRONX,1,28863,28863,11942,11942
2026-05-31,BROOKLYN,1,46999,46999,15929,15929
2026-05-31,MANHATTAN,1,41219,41219,8577,8577
2026-05-31,QUEENS,1,46176,46176,14285,14285
2026-05-31,STATEN ISLAND,1,5882,5882,2130,2130
2026-05-31,UNKNOWN,1,669,669,167,167
2026-06-30,BRONX,1,25157,25157,8984,8984
2026-06-30,BROOKLYN,1,46227,46227,14556,14556
2026-06-30,MANHATTAN,1,41655,41655,7925,7925
2026-06-30,QUEENS,1,47936,47936,15436,15436
2026-06-30,STATEN ISLAND,1,6167,6167,2248,2248
2026-06-30,UNKNOWN,1,755,755,171,171
2026-07-31,BRONX,1,28109,28109,10250,10250
2026-07-31,BROOKLYN,1,51631,51631,16398,16398
2026-07-31,MANHATTAN,1,43264,43264,8394,8394
2026-07-31,QUEENS,1,49327,49327,16305,16305
2026-07-31,STATEN ISLAND,1,6731,6731,2425,2425
2026-07-31,UNKNOWN,1,809,809,185,185
2026-08-31,BRONX,1,33139,33139,12714,12714
2026-08-31,BROOKLYN,1,58654,58654,19218,19218
2026-08-31,MANHATTAN,1,43974,43974,8674,8674
2026-08-31,QUEENS,1,49698,49698,16870,16870
2026-08-31,STATEN ISLAND,1,7496,7496,2676,2676
2026-08-31,UNKNOWN,1,876,876,191,191
2026-09-30,BRONX,1,,,,
2026-09-30,BROOKLYN,1,,,,
2026-09-30,MANHATTAN,1,,,,
2026-09-30,QUEENS,1,,,,
2026-09-30,STATEN ISLAND,1,,,,
2026-09-30,UNKNOWN,1,,,,
2026-10-31,BRONX,1,,,,
2026-10-31,BROOKLYN,1,,,,
2026-10-31,MANHATTAN,1,,,,
2026-10-31,QUEENS,1,,,,
2026-10-31,STATEN ISLAND,1,,,,
2026-10-31,UNKNOWN,1,,,,
2026-11-30,BRONX,1,,,,
2026-11-30,BROOKLYN,1,,,,
2026-11-30,MANHATTAN,1,,,,
2026-11-30,QUEENS,1,,,,
2026-11-30,STATEN ISLAND,1,,,,
2026-11-30,UNKNOWN,1,,,,
2026-12-31,BRONX,1,,,,
2026-12-31,BROOKLYN,1,,,,
2026-12-31,MANHATTAN,1,,,,
2026-12-31,QUEENS,1,,,,
2026-12-31,STATEN ISLAND,1,,,,
2026-12-31,UNKNOWN,1,,,,
