Fiscal Year,Year Month,Borough,Time View,Is FY Total,Is Month Total,Check Row,Requests,Requests (Daily)
FY2024,2024-05,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2024,2024-05,QUEENS,Current,FALSE,FALSE,1,,
FY2024,2024-05,QUEENS,FYTD,FALSE,FALSE,1,,
FY2024,2024-05,QUEENS,PY,FALSE,FALSE,1,,
FY2024,2024-05,QUEENS,YoY %,FALSE,FALSE,1,,
FY2024,2024-05,STATEN ISLAND,Current,FALSE,FALSE,1,,
FY2024,2024-05,STATEN ISLAND,FYTD,FALSE,FALSE,1,,
FY2024,2024-05,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2024,2024-05,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2024,2024-05,UNKNOWN,Current,FALSE,FALSE,1,,
FY2024,2024-05,UNKNOWN,FYTD,FALSE,FALSE,1,,
FY2024,2024-05,UNKNOWN,PY,FALSE,FALSE,1,,
FY2024,2024-05,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2024,2024-06,BRONX,Current,FALSE,FALSE,1,,
FY2024,2024-06,BRONX,FYTD,FALSE,FALSE,1,,
FY2024,2024-06,BRONX,PY,FALSE,FALSE,1,,
FY2024,2024-06,BRONX,YoY %,FALSE,FALSE,1,,
FY2024,2024-06,BROOKLYN,Current,FALSE,FALSE,1,,
FY2024,2024-06,BROOKLYN,FYTD,FALSE,FALSE,1,,
FY2024,2024-06,BROOKLYN,PY,FALSE,FALSE,1,,
FY2024,2024-06,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2024,2024-06,MANHATTAN,Current,FALSE,FALSE,1,,
FY2024,2024-06,MANHATTAN,FYTD,FALSE,FALSE,1,,
FY2024,2024-06,MANHATTAN,PY,FALSE,FALSE,1,,
FY2024,2024-06,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2024,2024-06,QUEENS,Current,FALSE,FALSE,1,,
FY2024,2024-06,QUEENS,FYTD,FALSE,FALSE,1,,
FY2024,2024-06,QUEENS,PY,FALSE,FALSE,1,,
FY2024,2024-06,QUEENS,YoY %,FALSE,FALSE,1,,
FY2024,2024-06,STATEN ISLAND,Current,FALSE,FALSE,1,,
FY2024,2024-06,STATEN ISLAND,FYTD,FALSE,FALSE,1,,
FY2024,2024-06,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2024,2024-06,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2024,2024-06,UNKNOWN,Current,FALSE,FALSE,1,,
FY2024,2024-06,UNKNOWN,FYTD,FALSE,FALSE,1,,
FY2024,2024-06,UNKNOWN,PY,FALSE,FALSE,1,,
FY2024,2024-06,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2025,,BRONX,Current,FALSE,TRUE,1,691187,691187
FY2025,,BRONX,FYTD,FALSE,TRUE,1,691187,
FY2025,,BRONX,PY,FALSE,TRUE,1,,
FY2025,,BRONX,YoY %,FALSE,TRUE,1,,
FY2025,,BROOKLYN,Current,FALSE,TRUE,1,887292,887292
FY2025,,BROOKLYN,FYTD,FALSE,TRUE,1,887292,
FY2025,,BROOKLYN,PY,FALSE,TRUE,1,,
FY2025,,BROOKLYN,YoY %,FALSE,TRUE,1,,
FY2025,,MANHATTAN,Current,FALSE,TRUE,1,604363,604363
FY2025,,MANHATTAN,FYTD,FALSE,TRUE,1,604363,
FY2025,,MANHATTAN,PY,FALSE,TRUE,1,,
FY2025,,MANHATTAN,YoY %,FALSE,TRUE,1,,
FY2025,,QUEENS,Current,FALSE,TRUE,1,690297,690297
FY2025,,QUEENS,FYTD,FALSE,TRUE,1,690297,
FY2025,,QUEENS,PY,FALSE,TRUE,1,,
FY2025,,QUEENS,YoY %,FALSE,TRUE,1,,
FY2025,,STATEN ISLAND,Current,FALSE,TRUE,1,104577,104577
FY2025,,STATEN ISLAND,FYTD,FALSE,TRUE,1,104577,
